England,,Sir,Thomas,Pelham,Bart,Male,,Barony,Pelham,,,Hereditary peerage,1706-12-16,"C 231/9, p. 147; 5 Ann., pt. 2 (C 66/3454) no. 4",,,FALSE,
England,,Sir,William,Cowper,Bart,Male,,Barony,Cowper,,,Hereditary peerage,1706-12-14,"C 231/9, p. 147; 5 Ann., pt. 2 (C 66/3454) no. 17",,,FALSE,
Great Britain,,,James,,,Male,,Earldom,Malmesbury,,,Promotion,1800-12-29,"C 231/13, p. 285; 41 Geo. III, pt. 4 (C 66/3982) no. 1",Barony,Malmesbury,FALSE,
Great Britain,,,James,,,Male,,Viscountcy,Fitzharris,,,Promotion,1800-12-29,"C 231/13, p. 285; 41 Geo. III, pt. 4 (C 66/3982) no. 1",Barony,Malmesbury,FALSE,
Great Britain,,,Charles Sloane,,,Male,,Earldom,Cadogan,,,Promotion,1800-12-27,"C 231/13, p. 285; 41 Geo. III, pt. 4 (C 66/3982) no. 2",Barony,Cadogan,FALSE,
Great Britain,,,Charles Sloane,,,Male,,Viscountcy,Chelsea,,,Promotion,1800-12-27,"C 231/13, p. 285; 41 Geo. III, pt. 4 (C 66/3982) no. 2",Barony,Cadogan,FALSE,
Great Britain,,,Alexander,,,Male,,Viscountcy,Bridport,,,Promotion,1800-06-16,"C 231/13, p. 248; 40 Geo. III, pt. 11 (C66/3973) no. 6",Barony,Bridport,FALSE,
Great Britain,,,John,,,Male,,Barony,Fitzgibbon,,,Hereditary peerage (already peer of Ireland),1799-09-24,"C 231/13, p. 231; 39 Geo. III, pt. 11 (C 66/3962) no. 1",Earldom,Clare,TRUE,
Great Britain,110,Sir,John,Scott,Kt,Male,,Barony,Eldon,,,Hereditary peerage,1799-07-18,"C 231/13, p. 230; 39 Geo. III, pt. 11 (C 66/3962) no. 18",,,FALSE,
Ireland,711,Hon,George Nathaniel,Curzon,,Male,,Barony,Curzon of Kedleston,,,Hereditary peerage,1898-11-11,"LJ, cxl, 19",,,FALSE,
Ireland,,,John,McClintock,,Male,,Barony,Rathdonnell,1,SR to hm of brother William Bunbury McClintock Bunbury,Hereditary peerage,1868-12-21,"LP printed in LJ, ci, 229-30",,,FALSE,
Ireland,,,James,,,Male,James Marquess of Abercorn (GB) and Viscount Strabane,Dukedom,Abercorn,,,Promotion,1868-08-10,"CP, i, 9",Marquessate,Abercorn,TRUE,
Ireland,,,James,,,Male,James Marquess of Abercorn (GB) and Viscount Strabane,Marquessate,Hamilton,,,Promotion,1868-08-10,"CP, i, 9",Marquessate,Abercorn,TRUE,
Ireland,279,Sir,William Meredyth,Somerville,Bart,Male,,Barony,Athlumney,,,Hereditary peerage,1863-12-14,"LP printed in LJ, xcvi, 87-8",,,FALSE,
Ireland,,,Edmund Burke,Roche,,Male,,Barony,Fermoy,,,New hereditary peerage: not a promotion,1856-09-10,"LP printed in LJ, lxxxix, 312-13",,,FALSE,
Ireland,,,Edmund Burke,Roche,,Male,,Barony,Fermoy,,,Hereditary peerage,1855-05-14,"LP printed in LJ, lxxxviii, 85-6",,,FALSE,The House of Lords resolved 1 July 1856 that grantee had not made out his claim to vote at elections for representative peers (ibid. 336); in consequence he received fresh LP 10 Sept. 1856
Ireland,278,,Thomas,Fortescue,,Male,,Barony,Clermont,1,SR to brother Chichester Samuel Fortescue and hm,Hereditary peerage,1852-02-11,"LP printed in LJ, lxxxv, 537-9",,,FALSE,
Ireland,,Sir,Patrick,Bellew,Bart,Male,,Barony,Bellew,,,Hereditary peerage,1848-07-10,"LP printed in LJ, lxxxviii, 387-8",,,FALSE,
